PFCOUNT|Return the approximated cardinality of the set(s) observed by the HyperLogLog at key(s).
PFMERGE|Merge N different HyperLogLogs into a single one.
PING|Ping the server
PSETEX|Set the value and expiration in milliseconds of a key
PSUBSCRIBE|Listen for messages published to channels matching the given patterns
PUBSUB|Inspect the state of the Pub/Sub subsystem
PTTL|Get the time to live for a key in milliseconds
PUBLISH|Post a message to a channel
PUNSUBSCRIBE|Stop listening for messages posted to channels matching the given patterns
QUIT|Close the connection
RANDOMKEY|Return a random key from the keyspace
READONLY|Enables read queries for a connection to a cluster slave node
READWRITE|Disables read queries for a connection to a cluster slave node
RENAME|Rename a key
RENAMENX|Rename a key, only if the new key does not exist
RESTORE|Create a key using the provided serialized value, previously obtained using DUMP.
ROLE|Return the role of the instance in the context of replication
RPOP|Remove and get the last element in a list
RPOPLPUSH|Remove the last element in a list, prepend it to another list and return it
RPUSH|Append one or multiple values to a list
RPUSHX|Append a value to a list, only if the list exists
SADD|Add one or more members to a set
SAVE|Synchronously save the dataset to disk
SCARD|Get the number of members in a set
SCRIPT DEBUG|Set the debug mode for executed scripts.
SCRIPT EXISTS|Check existence of scripts in the script cache.
SCRIPT FLUSH|Remove all the scripts from the script cache.
SCRIPT KILL|Kill the script currently in execution.
SCRIPT LOAD|Load the specified Lua script into the script cache.
SDIFF|Subtract multiple sets
SDIFFSTORE|Subtract multiple sets and store the resulting set in a key
SELECT|Change the selected database for the current connection
SET|Set the string value of a key
SETBIT|Sets or clears the bit at offset in the string value stored at key
SETEX|Set the value and expiration of a key
SETNX|Set the value of a key, only if the key does not exist
SETRANGE|Overwrite part of a string at key starting at the specified offset
SHUTDOWN|Synchronously save the dataset to disk and then shut down the server
SINTER|Intersect multiple sets
SINTERSTORE|Intersect multiple sets and store the resulting set in a key
SISMEMBER|Determine if a given value is a member of a set
SLAVEOF|Make the server a slave of another instance, or promote it as master
SLOWLOG|Manages the Redis slow queries log
SMEMBERS|Get all the members in a set
SMOVE|Move a member from one set to another
SORT|Sort the elements in a list, set or sorted set
SPOP|Remove and return one or multiple random members from a set
SRANDMEMBER|Get one or multiple random members from a set
SREM|Remove one or more members from a set
STRLEN|Get the length of the value stored in a key
SUBSCRIBE|Listen for messages published to the given channels
SUNION|Add multiple sets
SUNIONSTORE|Add multiple sets and store the resulting set in a key
SYNC|Internal command used for replication
TIME|Return the current server time
TTL|Get the time to live for a key
TYPE|Determine the type stored at key
UNSUBSCRIBE|Stop listening for messages posted to the given channels
UNWATCH|Forget about all watched keys
WAIT|Wait for the synchronous replication of all the write commands sent in the context of the current connection
WATCH|Watch the given keys to determine execution of the MULTI/EXEC block
ZADD|Add one or more members to a sorted set, or update its score if it already exists
ZCARD|Get the number of members in a sorted set
ZCOUNT|Count the members in a sorted set with scores within the given values
ZINCRBY|Increment the score of a member in a sorted set
ZINTERSTORE|Intersect multiple sorted sets and store the resulting sorted set in a new key
ZLEXCOUNT|Count the number of members in a sorted set between a given lexicographical range
ZRANGE|Return a range of members in a sorted set, by index
ZRANGEBYLEX|Return a range of members in a sorted set, by lexicographical range
ZREVRANGEBYLEX|Return a range of members in a sorted set, by lexicographical range, ordered from higher to lower strings.
ZRANGEBYSCORE|Return a range of members in a sorted set, by score
ZRANK|Determine the index of a member in a sorted set
ZREM|Remove one or more members from a sorted set
ZREMRANGEBYLEX|Remove all members in a sorted set between the given lexicographical range
ZREMRANGEBYRANK|Remove all members in a sorted set within the given indexes
ZREMRANGEBYSCORE|Remove all members in a sorted set within the given scores
ZREVRANGE|Return a range of members in a sorted set, by index, with scores ordered from high to low
ZREVRANGEBYSCORE|Return a range of members in a sorted set, by score, with scores ordered from high to low
ZREVRANK|Determine the index of a member in a sorted set, with scores ordered from high to low
ZSCORE|Get the score associated with the given member in a sorted set
ZUNIONSTORE|Add multiple sorted sets and store the resulting sorted set in a new key
SCAN|Incrementally iterate the keys space
SSCAN|Incrementally iterate Set elements
HSCAN|Incrementally iterate hash fields and associated values
ZSCAN|Incrementally iterate sorted sets elements and associated scores
